PoreId SeedX SeedY SeedZ SeedRadiusSquare IsBoundaryPore Volume
127 929 0 3 2561 1 35021
128 195 8 0 2250 1 52303
129 512 822 0 1949 1 44610
130 0 763 4 1940 1 28286
131 457 322 4 1697 1 64353
132 415 0 1 1685 1 23619
133 406 106 4 1570 1 68082
134 152 139 0 1421 1 40329
135 1141 187 4 1261 1 36289
136 473 658 1 1242 1 58128
137 1195 898 0 1241 1 23934
138 952 643 0 1222 1 72442
139 921 398 4 1209 1 41985
140 372 464 0 1197 1 55920
141 1132 289 4 1153 1 32802
142 733 200 4 1145 1 25896
143 1147 530 4 1133 1 44501
144 653 827 4 1124 1 43854
145 560 478 0 1121 1 54003
146 240 830 0 1121 1 33573
147 645 233 0 1106 1 47137
148 683 402 4 1053 1 37420
149 860 157 4 1041 1 43978
150 422 719 4 987 1 51597
151 29 267 0 984 1 33176
152 657 613 0 941 1 47098
153 681 525 4 938 1 27437
154 753 586 4 932 1 22899
155 278 321 4 930 1 34006
156 67 428 0 893 1 23108
157 97 672 4 869 1 23681
158 850 343 0 866 1 37359
159 674 156 4 864 1 41040
160 935 240 4 857 1 20764
161 795 7 4 857 1 12708
162 336 934 0 857 1 22634
163 262 235 4 836 1 21979
164 1035 696 2 788 1 23416
165 103 505 4 773 1 24851
166 183 698 0 770 1 47006
167 30 494 0 710 1 15777
168 601 887 4 698 1 15235
169 364 569 4 692 1 15571
170 799 786 4 650 1 19717
171 0 671 0 629 1 8052
172 572 953 0 610 1 6694
173 1091 45 4 549 1 16077
174 1097 112 0 546 1 14525
175 807 916 0 509 1 14985
176 1041 826 4 504 1 25421
177 130 929 0 493 1 28866
178 454 222 2 485 1 20813
179 184 543 1 442 1 14997
180 994 762 4 393 1 10160
181 769 959 0 386 1 3803
182 603 52 4 377 1 10332
183 887 712 4 356 1 11490
184 218 430 4 340 1 11025
185 847 658 0 333 1 14236
186 0 106 4 297 1 5977
187 768 643 4 288 1 7193
188 332 662 3 278 1 11362
189 719 959 4 258 1 3911
190 1094 824 4 256 1 5651
191 589 0 0 169 1 2260
192 898 799 4 129 1 4832
193 126 859 1 107 1 6276
194 892 959 4 81 1 2556
195 1064 601 4 68 1 2749
196 1019 112 4 65 1 2579
197 325 70 0 17 1 252
198 775 280 0 16 1 1030
199 973 152 4 16 1 4352
200 455 540 0 1 1 646
201 1187 710 4 1 1 209
