PoreId SeedX SeedY SeedZ SeedRadiusSquare IsBoundaryPore Volume
127 929 0 3 2561 1 52285
128 195 8 0 2250 1 64639
129 512 822 0 1949 1 57482
130 0 763 4 1940 1 32939
131 457 322 4 1697 1 83644
132 415 0 1 1685 1 27996
133 406 106 4 1570 1 87310
134 152 139 0 1421 1 51765
135 1141 187 4 1261 1 54365
136 473 658 1 1242 1 62253
137 1195 898 0 1241 1 25153
138 952 643 0 1222 1 99116
139 921 398 4 1209 1 43957
140 372 464 0 1197 1 66140
141 1132 289 4 1153 1 43321
142 733 200 4 1145 1 41012
143 1147 530 4 1133 1 54427
144 653 827 4 1124 1 58960
145 560 478 0 1121 1 62346
146 240 830 0 1121 1 59647
147 645 233 0 1106 1 61939
148 683 402 4 1053 1 47346
149 860 157 4 1041 1 60133
150 422 719 4 987 1 77335
151 29 267 0 984 1 38277
152 657 613 0 941 1 58928
153 681 525 4 938 1 40702
154 753 586 4 932 1 34840
155 278 321 4 930 1 53764
156 67 428 0 893 1 27165
157 97 672 4 869 1 31263
158 850 343 0 866 1 44858
159 674 156 4 864 1 59912
160 935 240 4 857 1 26849
161 795 7 4 857 1 18091
162 336 934 0 857 1 30053
163 262 235 4 836 1 40965
164 1035 696 2 788 1 36739
165 103 505 4 773 1 33387
166 183 698 0 770 1 68086
167 30 494 0 710 1 17369
168 601 887 4 698 1 22765
169 364 569 4 692 1 23265
170 799 786 4 650 1 27817
171 0 671 0 629 1 10257
172 572 953 0 610 1 12416
173 1091 45 4 549 1 29646
174 1097 112 0 546 1 26133
175 807 916 0 509 1 18285
176 1041 826 4 504 1 32146
177 130 929 0 493 1 41475
178 454 222 2 485 1 23706
179 184 543 1 442 1 29233
180 994 762 4 393 1 19973
181 769 959 0 386 1 4956
182 603 52 4 377 1 27441
183 887 712 4 356 1 20946
184 218 430 4 340 1 23402
185 847 658 0 333 1 19125
186 0 106 4 297 1 5977
187 768 643 4 288 1 11164
188 332 662 3 278 1 17140
189 719 959 4 258 1 4676
190 1094 824 4 256 1 12612
191 589 0 0 169 1 3550
192 898 799 4 129 1 8280
193 126 859 1 107 1 19038
194 892 959 4 81 1 2556
195 1064 601 4 68 1 11624
196 1019 112 4 65 1 16700
197 325 70 0 17 1 2133
198 775 280 0 16 1 3113
199 973 152 4 16 1 8585
200 455 540 0 1 1 646
201 1187 710 4 1 1 209
