SharedPixelTypeId; Volume; PoreId1 PoreId2 ... 
4294967076; 84; 127 135 141 173 174 196 199
4294967077; 2565; 135 141 173 174 196 199
4294967078; 9114; 127 149 160 196 199
4294967079; 855; 142 147 158 198
4294967080; 3384; 142 147 198
4294967081; 34; 128 134 197
4294967082; 6677; 128 132 133 197
4294967083; 5007; 128 197
4294967085; 12696; 127 196
4294967086; 9544; 127 135 141 173 174 196
4294967087; 16694; 135 141 173 174 196
4294967088; 14518; 138 143 164 195
4294967089; 630; 138 164 176 180 183 185 190 195
4294967090; 31522; 138 164 195
4294967091; 1068; 130 177 193
4294967092; 11997; 146 166 177 193
4294967093; 17855; 177 193
4294967094; 2955; 170 183 192
4294967095; 4780; 138 144 164 170 175 176 180 183 185 190 192
4294967096; 4929; 138 164 176 180 183 185 190 192
4294967097; 798; 132 159 182 191
4294967098; 468; 182 191
4294967099; 402; 159 182 191
4294967100; 17611; 142 159 182 191
4294967101; 11; 138 144 164 170 176 180 183 185 190
4294967102; 5799; 138 153 154 164 176 180 183 185 187 190
4294967103; 36; 138 164 170 176 180 183 185 190
4294967105; 30910; 138 164 176 180 183 185 190
4294967106; 3830; 137 176 190
4294967107; 5709; 176 190
4294967108; 1910; 175 181 189
4294967109; 388; 181 189
4294967110; 51; 136 140 169 188
4294967111; 1452; 140 166 169 188
4294967112; 5704; 140 169 188
4294967113; 2234; 136 150 188
4294967114; 2820; 152 154 187
4294967115; 3002; 154 187
4294967117; 4900; 153 154 187
4294967123; 110; 131 133 155 163 184
4294967124; 2844; 131 140 147 155 184
4294967125; 7207; 131 140 155 184
4294967126; 308; 156 157 165 166 179 184
4294967127; 18419; 131 155 184
4294967128; 394; 131 155 156 165 166 179 184
4294967129; 31373; 156 165 166 179 184
4294967133; 1556; 144 170 183
4294967136; 5517; 170 183
4294967138; 3002; 132 133 159 182
4294967140; 16010; 159 182
4294967141; 2668; 175 181
4294967147; 1068; 138 164 180
4294967148; 1363; 157 166 179
4294967152; 1551; 166 179
4294967153; 1728; 131 133 178
4294967154; 1907; 133 178
4294967155; 36; 131 147 155 178
4294967156; 3603; 131 178
4294967158; 3004; 129 146 150 162 177
4294967167; 12070; 173 174
4294967168; 19; 135 141 174
4294967170; 513; 135 141 173 174
4294967171; 5252; 135 174
4294967174; 1706; 144 168 172
4294967175; 9114; 168 172
4294967176; 1341; 157 171
4294967177; 658; 130 146 157 166 171
4294967178; 10031; 130 157 171
4294967179; 798; 130 171
4294967180; 15437; 129 144 152 168 170
4294967183; 8505; 144 170
4294967185; 5566; 136 140 169
4294967186; 10725; 140 169
4294967187; 3975; 129 168
4294967189; 5247; 144 168
4294967190; 3145; 151 156 165 167
4294967191; 1580; 156 165 167
4294967192; 1948; 165 167
4294967197; 6779; 157 166
4294967198; 11; 146 157 166
4294967200; 59; 129 146 150 166
4294967201; 23468; 146 166
4294967205; 1285; 156 165
4294967209; 2937; 138 164
4294967210; 2531; 131 133 155 163
4294967211; 14049; 128 133 134 155 163
4294967212; 10330; 133 155 163
4294967213; 9469; 133 163
4294967214; 13680; 129 146 150 162
4294967215; 6695; 127 142 149 159 161
4294967216; 8826; 127 142 149 161
4294967218; 69; 142 149 160
4294967219; 7458; 149 160
4294967220; 3276; 147 159
4294967223; 1716; 142 147 159
4294967225; 1698; 142 159
4294967227; 10705; 139 148 158
4294967228; 3680; 139 158
4294967237; 3302; 131 147 155
4294967241; 12372; 131 155
4294967242; 259; 145 148 153 154
4294967243; 416; 148 153 154
4294967244; 656; 152 153 154
4294967245; 4227; 152 154
4294967247; 13637; 153 154
4294967248; 4777; 145 153
4294967249; 10; 145 152 153
4294967253; 3596; 152 153
4294967256; 6692; 134 151
4294967257; 3787; 136 150
4294967258; 15090; 129 146 150
4294967259; 1107; 129 136 150
4294967260; 20573; 129 150
4294967261; 576; 127 142 149
4294967262; 257; 142 147 149
4294967263; 7209; 142 149
4294967264; 7521; 127 149
4294967265; 160; 142 145 147 148
4294967266; 10201; 145 148
4294967267; 3402; 145 147 148
4294967273; 16097; 142 147
4294967277; 1172; 131 145
4294967283; 23384; 135 141
4294967289; 12183; 128 134
4294967292; 12712; 132 133
4294967293; 1312; 131 133
