SharedPixelTypeId; Volume; PoreId1 PoreId2 ... 
4294967029; 13; 131 145
4294967030; 10; 151 156
4294967031; 8; 156 151
4294967032; 14; 145 131
4294967033; 23; 182 133
4294967034; 24; 133 182
4294967035; 18; 175 170
4294967036; 16; 170 175
4294967037; 28; 171 157
4294967038; 22; 188 166
4294967039; 23; 166 188
4294967040; 26; 157 171
4294967041; 41; 146 177
4294967042; 42; 177 146
4294967043; 28; 185 138
4294967044; 1; 182 132
4294967045; 1; 132 182 191
4294967046; 1; 132 182
4294967047; 1; 174 199 196
4294967048; 1; 191 182 132
4294967049; 29; 138 185
4294967050; 0; 174 199
4294967051; 3; 191 132 182
4294967052; 1; 182 191 132
4294967053; 2; 196 174 199
4294967054; 1; 196 199 174
4294967055; 2; 132 191 182
4294967056; 2; 174 196 199
4294967057; 3; 199 196 174
4294967058; 16; 132 191
4294967059; 19; 191 132
4294967060; 34; 162 150
4294967061; 1; 146 150 162
4294967062; 29; 130 193
4294967063; 34; 150 162
4294967064; 2; 146 162 150
4294967065; 29; 193 130
4294967066; 3; 150 146 162
4294967067; 2; 167 156 165
4294967068; 2; 195 138 143
4294967069; 6; 143 138
4294967070; 6; 138 143
4294967071; 47; 198 158
4294967072; 48; 158 198
4294967073; 2; 143 195 138
4294967074; 1; 195 143 138
4294967075; 41; 129 136
4294967076; 42; 136 129
4294967077; 2; 127 199 196 149
4294967078; 2; 196 127 199 149
4294967079; 2; 149 199 127
4294967080; 2; 199 149 127
4294967081; 2; 196 127 199
4294967082; 2; 127 149 199
4294967083; 0; 127 199 196
4294967084; 4; 199 196 127
4294967085; 0; 127 199
4294967086; 80; 134 151
4294967087; 255; 146 162
4294967088; 252; 162 146
4294967089; 82; 151 134
4294967090; 109; 180 192
4294967091; 111; 192 180
4294967092; 57; 152 187
4294967093; 58; 187 152
4294967094; 4; 168 144 129
4294967095; 47; 129 144
4294967096; 110; 149 199
4294967097; 110; 199 149
4294967098; 2; 144 129 168
4294967099; 4; 129 168 144
4294967100; 43; 144 129
4294967101; 70; 140 155
4294967102; 67; 155 140
4294967103; 69; 160 199
4294967104; 70; 199 160
4294967105; 88; 192 170
4294967106; 81; 188 150
4294967107; 80; 150 188
4294967108; 91; 131 147
4294967109; 93; 147 131
4294967110; 4; 183 170 192
4294967111; 253; 144 152
4294967112; 256; 152 144
4294967113; 2; 170 192 183
4294967114; 89; 170 192
4294967115; 2; 192 183 170
4294967116; 31; 131 133
4294967117; 30; 133 131
4294967118; 103; 190 137
4294967119; 105; 137 190
4294967120; 211; 196 199
4294967121; 201; 199 196
4294967122; 40; 192 183
4294967123; 41; 183 192
4294967124; 4; 169 136 140
4294967125; 16; 140 136
4294967126; 2; 136 140 169
4294967127; 17; 136 140
4294967128; 3; 165 167 156
4294967129; 4; 156 165 167
4294967130; 142; 178 133
4294967131; 4; 165 156 167
4294967132; 2; 156 167 165
4294967133; 139; 133 178
4294967134; 195; 167 156
4294967135; 195; 156 167
4294967136; 177; 131 140
4294967137; 4; 140 169 136
4294967138; 181; 140 131
4294967139; 8; 136 169 140
4294967140; 43; 153 148
4294967141; 42; 148 153
4294967142; 142; 173 127
4294967143; 146; 127 173
4294967144; 303; 150 146
4294967145; 305; 146 150
4294967146; 143; 146 193
4294967147; 141; 193 146
4294967148; 206; 195 143
4294967149; 204; 143 195
4294967150; 231; 158 148
4294967151; 125; 153 145
4294967152; 125; 145 153
4294967153; 233; 148 158
4294967154; 202; 170 183
4294967155; 205; 183 170
4294967156; 73; 142 198
4294967157; 71; 198 142
4294967158; 182; 138 195
4294967159; 182; 195 138
4294967160; 3; 161 127 149
4294967161; 3; 127 161 149
4294967162; 3; 149 127 161
4294967163; 142; 149 161
4294967164; 136; 161 149
4294967165; 6; 127 149 161
4294967166; 6; 145 148 147
4294967167; 3; 148 145 147
4294967168; 29; 147 145
4294967169; 6; 148 147 145
4294967170; 30; 145 147
4294967171; 112; 133 197
4294967172; 118; 197 133
4294967173; 163; 188 169
4294967174; 166; 169 188
4294967175; 282; 163 134
4294967176; 284; 134 163
4294967177; 83; 148 147
4294967178; 80; 147 148
4294967179; 168; 185 187
4294967180; 170; 187 185
4294967181; 141; 167 165
4294967182; 140; 165 167
4294967183; 233; 168 129
4294967184; 222; 129 168
4294967185; 176; 161 127
4294967186; 175; 127 161
4294967187; 279; 196 127
4294967188; 275; 127 196
4294967189; 251; 164 195
4294967190; 243; 195 164
4294967191; 291; 196 174
4294967192; 284; 174 196
4294967193; 266; 184 179
4294967194; 268; 179 184
4294967195; 256; 149 142
4294967196; 259; 142 149
4294967197; 273; 184 155
4294967198; 272; 155 184
4294967199; 434; 165 179
4294967200; 427; 179 165
4294967201; 369; 177 193
4294967202; 376; 193 177
4294967203; 267; 130 157
4294967204; 267; 157 130
4294967205; 304; 183 138
4294967206; 307; 138 183
4294967207; 237; 149 160
4294967208; 236; 160 149
4294967209; 3; 159 147 142
4294967210; 4; 147 159 142
4294967211; 178; 197 128
4294967212; 294; 176 180
4294967213; 292; 180 176
4294967214; 172; 128 197
4294967215; 4; 142 147 159
4294967216; 8; 147 142 159
4294967217; 221; 185 183
4294967218; 226; 183 185
4294967219; 196; 154 152
4294967220; 198; 152 154
4294967221; 237; 136 169
4294967222; 246; 169 136
4294967223; 335; 131 178
4294967224; 349; 178 131
4294967225; 306; 180 164
4294967226; 302; 164 180
4294967227; 313; 191 182
4294967228; 311; 182 191
4294967229; 608; 155 163
4294967230; 611; 163 155
4294967231; 78; 181 189
4294967232; 104; 189 181
4294967233; 468; 129 150
4294967234; 443; 150 129
4294967235; 332; 166 157
4294967236; 313; 157 166
4294967237; 212; 176 190
4294967238; 273; 190 176
4294967239; 335; 187 154
4294967240; 334; 154 187
4294967241; 263; 166 179
4294967242; 320; 179 166
4294967243; 169; 171 130
4294967244; 197; 130 171
4294967245; 262; 174 173
4294967246; 264; 173 174
4294967247; 578; 159 182
4294967248; 592; 182 159
